"Drug_Name_Norm","Drug_Name","mean_fc","median_fc","max_abs_fc","min_p_value","min_q_value","n_tests","n_sources","sources","score","direction"
"brd-k89224880","BRD-K89224880",2.88499,2.88499,3.19019,1.05094e-10,1.67159e-07,2,1,"LINCS L1000",17.4829020651315,"Upregula NQO1"
"brazilin","brazilin",2.3592,2.3592,2.3592,9.57707e-10,1.71986e-07,1,1,"LINCS L1000",15.9588246881103,"Upregula NQO1"
"salermide","salermide",-0.772107875,-1.003383,2.41246,3.47091e-09,2.15895e-07,8,1,"LINCS L1000",8.65092784205137,"Downregula NQO1"
"brd-k53932786","BRD-K53932786",-2.51364,-2.51364,2.51364,2.24869e-09,2.24546e-07,1,1,"LINCS L1000",16.7124248877271,"Downregula NQO1"
"niclosamide","niclosamide",-0.266445636363636,-0.9036,2.07409,2.42363e-08,2.25719e-07,11,1,"LINCS L1000",10.4021311462614,"Downregula NQO1"
"elesclomol","elesclomol",1.810778,1.74984,2.32917,3.52319e-09,2.37022e-07,5,1,"LINCS L1000",10.1347845455937,"Upregula NQO1"
"mg-132","MG-132",-2.66968,-2.66968,3.37769,1.33341e-08,2.5163e-07,2,1,"LINCS L1000",22.2901787896732,"Downregula NQO1"
"yc-1","YC-1",-1.80821,-1.80821,1.80821,3.5994e-08,2.64265e-07,1,1,"LINCS L1000",11.8943336885284,"Downregula NQO1"
"zg-10","ZG-10",-1.44993875,-1.56977,1.91862,1.9034e-08,2.66404e-07,4,1,"LINCS L1000",11.9501316160096,"Downregula NQO1"
"brd-k53423944","BRD-K53423944",-1.95778,-1.95778,2.42339,4.37999e-08,2.88561e-07,2,1,"LINCS L1000",15.848394719297,"Downregula NQO1"
"5-iodotubercidin","5-iodotubercidin",-2.11866666666667,-2.44848,2.50409,2.08526e-08,2.94823e-07,3,1,"LINCS L1000",16.3528060913213,"Downregula NQO1"
"pifithrin-mu","pifithrin-mu",1.751385875,1.526995,2.98734,4.96324e-10,3.0472e-07,8,1,"LINCS L1000",19.1050739503205,"Upregula NQO1"
"brd-k66037923","BRD-K66037923",2.304434,2.05279,3.43232,1.26744e-09,3.48436e-07,5,1,"LINCS L1000",22.1655003178755,"Upregula NQO1"
"vu-0418946-1","VU-0418946-1",-1.35278766666667,-1.42918,1.89312,3.06191e-08,3.58479e-07,3,1,"LINCS L1000",12.2021736435019,"Downregula NQO1"
"brd-k52321331","BRD-K52321331",1.97344,1.97344,2.32797,8.37246e-10,4.32651e-07,2,1,"LINCS L1000",14.8148804909426,"Upregula NQO1"
"brd-k67808578","BRD-K67808578",2.36882,2.36882,2.36882,1.36085e-09,4.38079e-07,1,1,"LINCS L1000",15.0620177607008,"Upregula NQO1"
"exemestane","exemestane",1.5025,1.51804,1.60804,2.78301e-08,5.14719e-07,3,1,"LINCS L1000",8.68696269458112,"Upregula NQO1"
"phorbol-myristate-acetate","phorbol-myristate-acetate",1.95546428571429,2.06818,2.48457,3.56592e-08,5.29019e-07,7,1,"LINCS L1000",15.5944749861156,"Upregula NQO1"
"hg-6-64-01","HG-6-64-01",-0.278233333333333,-1.18942,1.77542,1.94802e-09,5.56134e-07,3,1,"LINCS L1000",7.43960866207104,"Downregula NQO1"
"ly-2183240","LY-2183240",-1.24802685714286,-1.35676,1.50254,8.99148e-09,5.64006e-07,7,1,"LINCS L1000",9.38894615317151,"Downregula NQO1"
"brd-k24214483","BRD-K24214483",-1.46684,-1.46684,1.46684,1.11707e-10,6.21874e-07,1,1,"LINCS L1000",9.10364557198554,"Downregula NQO1"
"ribavirin","Ribavirin",1.22416,1.22416,1.22416,3.98067e-09,6.58886e-07,1,1,"CREEDS",7.56676520792553,"Upregula NQO1"
"md-040","MD-040",-1.9525875,-1.582535,3.5939,2.63868e-09,7.34476e-07,4,1,"LINCS L1000",22.0450630703084,"Downregula NQO1"
"pirarubicin","pirarubicin",-1.760704,-1.760704,3.0476,5.63124e-08,7.8275e-07,2,1,"LINCS L1000",18.6097943127018,"Downregula NQO1"
"brd-k71726959","BRD-K71726959",-1.0201525,-1.032751,1.26211,1.87616e-09,8.35568e-07,4,1,"LINCS L1000",7.67112755126044,"Downregula NQO1"
"flutamide","flutamide",-1.32395,-1.32395,1.32395,1.66512e-08,8.95627e-07,1,1,"LINCS L1000",8.00708122327797,"Downregula NQO1"
"brd-k85565420","BRD-K85565420",2.145161,2.145161,3.31932,3.76792e-09,9.30562e-07,2,1,"LINCS L1000",20.0196643046307,"Upregula NQO1"
"brd-a09984573","BRD-A09984573",1.84611,1.74624,2.66353,6.86724e-10,1.01947e-06,3,1,"LINCS L1000",15.9588744004071,"Upregula NQO1"
"brd-k44366801","BRD-K44366801",2.74513,2.74513,3.58881,7.95862e-08,1.05868e-06,2,1,"LINCS L1000",21.4439841657533,"Upregula NQO1"
"zstk-474","ZSTK-474",-1.572076,-1.50909,2.55357,1.68263e-08,1.06144e-06,5,1,"LINCS L1000",15.2552941561536,"Downregula NQO1"
"brd-a84102390","BRD-A84102390",-0.56946,-0.56946,2.31178,2.48718e-07,1.06622e-06,2,1,"LINCS L1000",13.8063042675992,"Downregula NQO1"
"f-1061-0166","F-1061-0166",2.11511,2.11511,2.8925,6.6371e-08,1.09316e-06,2,1,"LINCS L1000",17.2431073052783,"Upregula NQO1"
"isoliquiritigenin","isoliquiritigenin",1.47994,1.34184,2.00494,7.37655e-09,1.11742e-06,10,1,"LINCS L1000",8.43392475464838,"Upregula NQO1"
"mdm2-inhibitor","MDM2-inhibitor",2.081495,2.081495,2.55463,7.36085e-10,1.12224e-06,2,1,"LINCS L1000",15.1998294552908,"Upregula NQO1"
"oxibendazole","oxibendazole",-1.69171,-1.69171,1.69171,1.36366e-08,1.1373e-06,1,1,"LINCS L1000",10.0557356375262,"Downregula NQO1"
"thm-i-94","THM-I-94",-1.91981,-1.91981,1.91981,2.14124e-07,1.14618e-06,1,1,"LINCS L1000",11.4051058319868,"Downregula NQO1"
"ikk-2-inhibitor-v","IKK-2-inhibitor-V",0.0132759166666667,-0.668883,1.98001,8.58012e-08,1.2447e-06,12,1,"LINCS L1000",11.6918309640468,"Downregula NQO1"
"vemurafenib","vemurafenib",-0.146969375,-0.699355,2.143,2.38164e-07,1.27979e-06,16,2,"CREEDS; LINCS L1000",7.81890567835203,"Downregula NQO1"
"ispinesib","ispinesib",-0.18458,-0.18458,1.67392,5.02687e-08,1.30109e-06,2,1,"LINCS L1000",9.85217865917947,"Downregula NQO1"
"aminopurvalanol-a","aminopurvalanol-a",-0.466993333333333,-1.00494,2.30318,2.21653e-08,1.36007e-06,3,1,"LINCS L1000",13.5114643744584,"Downregula NQO1"
"sew-05685","SEW-05685",2.4888,2.4888,2.4888,9.24176e-08,1.37197e-06,1,1,"LINCS L1000",14.5909767221086,"Upregula NQO1"
"brd-a43155244","BRD-A43155244",-0.674518,-1.15028,2.92979,2.21726e-08,1.39082e-06,5,1,"LINCS L1000",15.3177477842568,"Downregula NQO1"
"brd-a68065211","BRD-A68065211",-1.75235,-1.75235,1.75235,1.46608e-07,1.39695e-06,1,1,"LINCS L1000",10.2596923164557,"Downregula NQO1"
"nsc-23766","NSC-23766",0.5233675,1.220935,1.86939,5.69775e-08,1.46004e-06,4,1,"LINCS L1000",10.9090781723322,"Upregula NQO1"
"kinetin-riboside","kinetin-riboside",1.068945375,1.202385,1.9714,1.98446e-09,1.52379e-06,8,1,"LINCS L1000",8.92734847813936,"Upregula NQO1"
"brd-k80786583","BRD-K80786583",-1.72471,-1.72471,1.72471,9.7031e-08,1.5511e-06,1,1,"LINCS L1000",10.0194616342593,"Downregula NQO1"
"torin-1","torin-1",-1.04200038461538,-1.42471,2.0129,3.78163e-08,1.58586e-06,13,1,"LINCS L1000",11.6742868933375,"Downregula NQO1"
"ly-294002","LY-294002",-1.1273352,-1.32185,2.0352,5.44942e-09,1.59668e-06,5,2,"CMAP; LINCS L1000",7.66247643824215,"Downregula NQO1"
"brd-k08448573","BRD-K08448573",-1.36625033333333,-1.50873,1.60225,7.7596e-08,1.64094e-06,3,1,"LINCS L1000",5.71416366702546,"Downregula NQO1"
"dorsomorphin","dorsomorphin",-0.7012034,-0.895965,2.47672,5.05799e-08,1.65149e-06,15,1,"LINCS L1000",9.72533556467088,"Downregula NQO1"
"bisbenzimide","bisbenzimide",-0.621075,-0.621075,2.33382,1.16986e-07,1.76974e-06,2,1,"LINCS L1000",13.4243439277116,"Downregula NQO1"
"brd-k04695623","BRD-K04695623",-1.22867,-1.22867,1.22867,4.34956e-08,1.91415e-06,1,1,"LINCS L1000",7.02556458773543,"Downregula NQO1"
"mw-stk33-1c","MW-STK33-1C",0.958545,1.388385,2.25194,1.59351e-07,2.09223e-06,4,1,"LINCS L1000",12.7896468113485,"Upregula NQO1"
"alvespimycin","alvespimycin",0.0582336923076923,0.517191,1.50112,2.26944e-07,2.11094e-06,13,2,"CMAP; LINCS L1000",6.88344590708782,"Upregula NQO1"
"brd-k80346834","BRD-K80346834",1.44350883333333,1.85081,3.23032,1.83997e-08,2.16786e-06,6,1,"LINCS L1000",14.2079711215592,"Upregula NQO1"
"sa-247384","SA-247384",-1.10042,-1.10042,1.10042,1.46476e-07,2.19203e-06,1,1,"LINCS L1000",6.2274457015314,"Downregula NQO1"
"pi-103","PI-103",-1.00859028571429,-0.964277,1.47455,1.65301e-07,2.24858e-06,7,1,"LINCS L1000",8.3283935520745,"Downregula NQO1"
"brd-k88569143","BRD-K88569143",-3.6269,-3.6269,3.6269,2.11359e-07,2.33344e-06,1,1,"LINCS L1000",20.4267129925394,"Downregula NQO1"
"brd-k77681376","BRD-K77681376",-2.52082,-2.52082,2.52082,9.72244e-08,2.36353e-06,1,1,"LINCS L1000",14.183239659697,"Downregula NQO1"
"cgp-71683","CGP-71683",-1.92241,-1.92241,1.92241,1.70895e-07,2.3666e-06,1,1,"LINCS L1000",10.8152386275419,"Downregula NQO1"
"bas-00535043","BAS-00535043",-1.87308,-1.53226,2.66879,5.59597e-09,2.49222e-06,3,1,"LINCS L1000",14.9543342431953,"Downregula NQO1"
"puromycin, ec50, 5 d","Puromycin, ec50, 5 d",-1.15197,-1.15197,1.15197,2.51581e-07,2.53411e-06,1,1,"CREEDS",6.44662518173279,"Downregula NQO1"
"strophanthidin","strophanthidin",-1.557825,-1.557825,1.66824,2.79127e-07,2.60067e-06,2,1,"LINCS L1000",9.31697818604193,"Downregula NQO1"
"mocetinostat","mocetinostat",-1.722527,-1.722527,2.6668,5.70633e-07,2.62159e-06,2,1,"LINCS L1000",14.884571466643,"Downregula NQO1"
"jnk-9l","JNK-9L",-0.202315,-0.18941,2.19418,3.24706e-07,2.80037e-06,4,1,"LINCS L1000",12.183808877502,"Downregula NQO1"
"phloretin","phloretin",-1.10903957142857,-1.38394,2.09432,3.48267e-08,2.98277e-06,7,1,"LINCS L1000",11.5719143308149,"Downregula NQO1"
