"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_NON_SMALL_CELL_LUNG_CANCER",0.350245499181669,0.590053228351101,0.0875697115548511,-0.382651352565397,-1.06558478425552,54,"SOS1/PIK3CB/MAP2K2/RXRA/GRB2/MAPK1/EGF/ERBB2/BAD/E2F2/CDK6/TGFA/AKT2/AKT3/RAF1"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",0.359454855195911,0.600161231443174,0.0883594442500905,-0.504859674240288,-1.10132636893304,14,"B4GALT4/B3GNT7/B4GALT3/ST3GAL2/ST3GAL1"
"KEGG_TASTE_TRANSDUCTION",0.378947368421053,0.627107591988822,0.11146266692298,0.363196231270459,1.05206211357115,46,"GNB3/GNAS/TAS2R31/ADCY6/CACNA1A/GNG3/TRPM5/PDE1A/ASIC2/GNAT3/TAS2R5/ITPR3/TAS2R43/ADCY4"
"KEGG_NON_HOMOLOGOUS_END_JOINING",0.394463667820069,0.640797413793104,0.0840745577910723,-0.512858341732245,-1.07416378198013,12,"NHEJ1/LIG4/XRCC4/POLM/DCLRE1C/RAD50"
"KEGG_ONE_CARBON_POOL_BY_FOLATE",0.391822827938671,0.640797413793104,0.0835990603684159,-0.460363527774818,-1.0408867124784,17,"GART/SHMT1/TYMS/ALDH1L1/MTHFS"
"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT",0.3975,0.640797413793104,0.105125131597001,0.373225657268061,1.03496641487586,38,"VAMP2/SNAP47/STX1B/BET1L/SEC22B/STX4/STX11/STX16/GOSR1"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.42716049382716,0.645191043093583,0.0999276973731092,0.387204478437376,1.02078339644381,30,"NIT2/CAD/ALDH4A1/ABAT"
"KEGG_COLORECTAL_CANCER",0.432907348242812,0.645191043093583,0.0749278818393739,-0.355384656686736,-1.01425473382023,62,"PIK3CB/MAPK9/CYCS/GSK3B/BIRC5/APPL1/MSH6/TCF7/MAPK1/AXIN1/TGFBR2/MLH1/BAD/AKT2/AKT3/RAF1/APC"
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.436578171091445,0.645191043093583,0.0704500850658419,-0.334073788552319,-1.01715730011885,93,"PIK3CB/PLA2G4F/PIP5K1B/WASF1/PRKCD/RPS6KB1/FCGR3A/PLD1/MAPK1/DNM1L/DNM2/PIP4K2B/ASAP3/AKT2/FCGR1A/AKT3/HCK/RAF1"
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",0.414043583535109,0.645191043093583,0.100633389423036,0.462958803837128,1.04135214300772,15,"HYI/GRHPR/MDH1/MTHFD2/MTHFD2L"
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.436666666666667,0.645191043093583,0.11776578836269,0.290373015812174,1.01618180886889,144,"CTF1/JAK2/SOCS2/CCND2/SPRY1/SPRY4/IL11RA/SPRY2/STAT5A/SPRED2/CCND1/LEPR/CISH/PIAS3/IL23A/PTPN11/IRF9/IL11/EPO/SOCS1/STAT4/IFNA14/AKT1"
"KEGG_LIMONENE_AND_PINENE_DEGRADATION",0.438177874186551,0.645191043093583,0.0908241419007155,0.504384012880909,1.03468784594248,9,"ALDH9A1/ALDH2"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.407821229050279,0.645191043093583,0.110564716336619,0.322289907255949,1.01003488176236,68,"ALDH3B2/GSTO1/MGST3/GSTM5/GSTM2/ALDH3B1/CYP1B1/GSTP1/ADH5/CYP3A5/MGST2/GSTZ1/GSTM1/GSTO2/GSTK1/GSTT1"
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",0.43424317617866,0.645191043093583,0.0992333343771191,0.364082851742168,1.01399321843625,39,"PPOX/BLVRA/UROD/COX15/ALAS1/ALAS2/GUSB"
"KEGG_PPAR_SIGNALING_PATHWAY",0.428571428571429,0.645191043093583,0.0739901439101341,-0.352862212557089,-1.02506288615006,68,"ME1/PPARG/DBI/RXRA/FABP4/UCP1/PCK1/PLIN1/FABP6/CYP4A22/SCD/ADIPOQ/EHHADH/HMGCS2/ACSL3/ACSL1/SLC27A4/FABP7/SCD5/PLTP/CYP4A11/UBC"
